(210, 167)
(208, 169)
(209, 172)
(209, 175)
(209, 175)
(207, 172)
(207, 172)
(208, 172)
(211, 173)
(214, 177)
(216, 180)
(217, 179)
(215, 177)
(214, 174)
(213, 175)
(212, 177)
(208, 173)
(207, 171)
(208, 176)
(207, 176)
(207, 172)
(206, 174)
(205, 178)
(205, 176)
(206, 176)
(208, 177)
(210, 173)
(212, 167)
(216, 165)
(217, 168)
(215, 162)
(212, 151)
(205, 141)
(199, 131)
(194, 126)
(188, 126)
(184, 126)
(184, 125)
(184, 127)
(186, 130)
(190, 132)
(196, 138)
(204, 146)
(212, 146)
(221, 146)
(231, 152)
(241, 157)
(251, 159)
(261, 162)
(270, 170)
(277, 174)
(285, 175)
(292, 181)
(298, 185)
(305, 185)
(311, 187)
(317, 186)
(324, 185)
(331, 186)
(338, 185)
(346, 186)
(352, 192)
(358, 191)
(365, 187)
(373, 194)
(379, 201)
(385, 200)
(391, 201)
(397, 206)
(403, 206)
(411, 206)
(419, 214)
(428, 217)
(438, 212)
(448, 208)
(458, 206)
(469, 207)
(479, 210)
(485, 213)
(490, 212)
(493, 211)
(495, 210)
(499, 209)
(502, 206)
(506, 205)
(511, 203)
(515, 200)
(519, 198)
(518, 201)
(513, 195)
(506, 193)
(499, 207)
(494, 215)
(490, 215)
(488, 215)
(489, 213)
(492, 205)
(497, 193)
(500, 190)
(504, 187)
(508, 190)
(509, 201)
(509, 200)
(509, 195)
(511, 200)
(512, 199)
(517, 179)
(514, 172)
(521, 208)
(519, 244)
(503, 269)
(501, 280)
(494, 280)
(486, 272)
(480, 271)
(473, 276)
(468, 270)
(462, 266)
(457, 271)
(453, 274)
(448, 284)
(443, 302)
(438, 304)
(434, 304)
(429, 317)
(425, 328)
(422, 333)
(417, 339)
(414, 345)
(410, 350)
(408, 354)
(405, 357)
(405, 356)
(407, 360)
(407, 363)
(406, 358)
(405, 356)
(404, 357)
(403, 347)
(401, 337)
(398, 336)
(395, 332)
(391, 324)
(381, 311)
(369, 303)
(354, 296)
(337, 291)
(321, 286)
(305, 274)
(288, 261)
(269, 267)
(254, 266)
(242, 268)
(229, 275)
(216, 280)
(205, 288)
(195, 294)
(187, 297)
(180, 300)
(176, 302)
(173, 301)
(169, 304)
(166, 306)
(165, 306)
(163, 307)
(162, 305)
(162, 306)
(160, 308)
(158, 306)
(158, 306)
(158, 311)
(157, 312)
(155, 308)
(154, 308)
(153, 310)
(151, 313)
(147, 314)
(143, 307)
(145, 301)
(148, 298)
(154, 294)
(165, 291)
(180, 295)
(193, 297)
(207, 289)
(225, 291)
(243, 302)
(261, 300)
(281, 281)
(304, 288)
(325, 289)
(345, 274)
(366, 276)
(383, 279)
(402, 282)
(422, 279)
(441, 276)
(459, 273)
(475, 262)
(491, 251)
(503, 245)
(511, 239)
(517, 228)
(523, 218)
(528, 215)
(531, 211)
(534, 203)
(537, 200)
(539, 197)
(541, 184)
(546, 169)
(550, 169)
(552, 166)
(556, 149)
(559, 140)
(561, 137)
(564, 133)
(568, 130)
(569, 131)
(573, 124)
(583, 104)
(594, 104)
(604, 100)
(616, 92)
(621, 90)
(625, 117)
(629, 108)
(631, 100)
(630, 107)
(626, 106)
(622, 102)
(614, 73)
(599, 76)
(585, 74)
(565, 74)
(549, 75)
(536, 73)
(524, 66)
(508, 68)
(493, 65)
(476, 61)
(459, 52)
(441, 47)
(423, 43)
(403, 37)
(379, 38)
(352, 48)
(329, 52)
(309, 54)
(289, 56)
(270, 55)
(255, 60)
(239, 64)
(226, 71)
(216, 85)
(202, 97)
(190, 101)
(180, 109)
(168, 116)
(155, 116)
(147, 123)
(142, 136)
(137, 141)
(133, 148)
(129, 163)
(128, 171)
(126, 174)
(122, 178)
(124, 186)
(129, 205)
(132, 217)
(137, 218)
(146, 230)
(155, 243)
(168, 252)
(175, 267)
(181, 284)
(186, 295)
(189, 309)
(191, 328)
(193, 342)
(196, 352)
(199, 362)
(206, 366)
(213, 367)
(218, 372)
(225, 371)
(235, 361)
(247, 358)
(258, 359)
(269, 356)
(281, 357)
(292, 361)
(302, 360)
(312, 363)
(321, 366)
(330, 360)
(339, 354)
(348, 354)
(357, 348)
(367, 333)
(375, 324)
(382, 322)
(389, 307)
(398, 286)
(406, 278)
(416, 272)
(425, 254)
(436, 239)
(447, 235)
(456, 223)
(465, 205)
(470, 200)
(470, 191)
(466, 169)
(462, 150)
(457, 146)
(447, 141)
(434, 123)
(419, 113)
(402, 103)
(385, 83)
(370, 72)
(355, 71)
(340, 71)
(321, 84)
(300, 100)
(279, 101)
(257, 110)
(236, 127)
(216, 144)
(197, 161)
(183, 173)
(179, 188)
(182, 213)
(189, 230)
(199, 244)
(212, 263)
(225, 275)
(238, 285)
(251, 301)
(264, 310)
(277, 311)
(288, 318)
(299, 320)
(313, 315)
(324, 311)
(333, 303)
(341, 290)
(348, 275)
(349, 263)
(348, 248)
(347, 228)
(343, 214)
(336, 200)
(328, 179)
(318, 161)
(306, 154)
(292, 142)
(277, 138)
(260, 150)
(245, 160)
(234, 162)
(228, 178)
(226, 192)
(226, 198)
(229, 213)
(233, 229)
(237, 237)
(244, 249)
(251, 264)
(257, 268)
(265, 269)
(274, 276)
(282, 280)
(288, 269)
(295, 264)
(301, 262)
(303, 248)
(302, 234)
(301, 235)
(296, 231)
(290, 224)
(282, 232)
(274, 239)
(267, 243)
(262, 248)
(261, 252)
(261, 256)
